RAZA,SEXO,intercepto,coef_0,coef_1,coef_2,coef_3,coef_4,r2
COBB,HEMBRA,238.96324565468922,0.0,-40.99934783776684,5.1741357659696,-0.04887782515553302,0.0002642822276581515,0.9999970975969981
COBB,MACHO,208.1217344388092,0.0,-37.93849382742984,5.294745769485973,-0.04173475129504031,0.00015829542079720337,0.9999979784408023
COBB,MIXTO,223.1905521632666,0.0,-39.05850638355396,5.201226200901849,-0.04436803342005559,0.00020325263194291234,0.9999977540147426
HUBBARD,HEMBRA,218.84753893486186,0.0,-22.705954857572326,3.2094494884796436,0.00677097795473585,-0.0002453004016746683,0.9999996787083142
HUBBARD,MACHO,218.84753893486186,0.0,-22.705954857572326,3.2094494884796436,0.00677097795473585,-0.0002453004016746683,0.9999996787083142
HUBBARD,MIXTO,11.9425247183608,0.0,7.398407460480558,1.712421758185263,0.03742888747791504,-0.0004666265511756929,0.999996807168278
ROSS,HEMBRA,33.977605743785716,0.0,0.7291972559079787,2.3202199382856015,0.013404672488024266,-0.0002376862199276517,0.9999954331297415
ROSS,MACHO,50.12798877964633,0.0,-6.192799999274663,2.7252597815902586,0.017689067115115104,-0.0002801605820667836,0.9999878797957327
ROSS,MIXTO,40.97010637115818,0.0,-2.506502821704419,2.5204956159644176,0.015551952202480223,-0.00025817926308533177,0.9999926014038857
ROSS 308 AP,HEMBRA,5.407667538937403,0.0,11.022659357067047,1.4769611284796786,0.03550997343787245,-0.00042984400234626926,0.9999974178506135
ROSS 308 AP,MACHO,3.3342284017453494,0.0,9.403939108706679,1.4971533767944756,0.04895029188508078,-0.0005426084218180637,0.999998492036154
ROSS 308 AP,MIXTO,4.409380712897018,0.0,10.173109101503263,1.490563407526253,0.04212607335240777,-0.00048523355553672275,0.9999980563012515
